UniqueID,Course,Title,Edition,Year,Author,ISBN,Alternate ISBNs,MMS ID,Call number,Barcode,Current Status,New/Returning/Past Semester,UMCP copy?,Notes,Comment,Branch Location
TopTextFall24.1,AASP 100,Let Nobody Turn Us Around: An African American Anthology,2nd,2009,"Marable, Manning; Mullings, Leith",9780742560574,,990037324340108238,AASP100/Let Nobody Turn Us Around,31430060875947,On Shelf,,N,,,CPMCK
TopTextFall24.2,AASP 211,Racism without Racists: Color-Blind Racism and the Persistence of Racial Inequality in America,6th,2021,"Bonilla-Silva, Eduardo",9781538151419,,990062575650108238,AASP211/Racism without Racists,31430060847763,On Shelf,,N,,,CPMCK
TopTextFall24.3,ANSC 101,"Introduction to Animal Science: Global, Biological, Social and Industry Perspectives",6th,2018,"Damron, W. Stephen",9780134436050,,990063476620108238,ANSC101/Intro to Animal Science,31430060214998,On Shelf,,Y,,,CPMCK
TopTextFall24.4,ANSC 204,Functional Anatomy and Physiology of Domestic Animals,5th,2017,"Reece, William O.",9781119270843,,990063662150108238,ANSC204/Functional Anatomy and Physiology of Domestic Animals,31430060875905,On Shelf,,,https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1538717&site=ehost-live,"This title is also available as an ebook at this <a href=""https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1538717&site=ehost-live"">link</a>",CPMCK
TopTextFall24.5,ANSC 204,Functional Anatomy and Physiology of Domestic Animals,5th,2017,"Reece, William O.",9781119270843,,990063662150108238,ANSC204/Functional Anatomy and Physiology of Domestic Animals STEM,31430060875913,On Shelf,,,https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1538717&site=ehost-live,"This item is available at the STEM Library. This title is also available as an ebook at this <a href=""https://search.ebscohost.com/login.aspx?direct=true&db=nlebk&AN=1538717&site=ehost-live"">link</a>",CPENG
TopTextFall24.6,AREC 210,"Tomorrow's Table: Organic Farming, Genetics, and the Future of Food",2nd,2018,"Ronald, Pamela; Adamchak, Raoul",9780199342082,,990063662070108238,AREC210/Tomorrow's Table,31430060875962,On Shelf,,N,,,CPMCK
TopTextFall24.7,AREC 210,A Revolution Down on the Farm,,2008,"Conkin, Paul Keith",9780813192420,,990036096840108238,AREC210/Revolution Down on the Farm,31430053288314,On Shelf,,Y,,,CPMCK
TopTextFall24.8,AREC 210,"Rancher, Farmer, Fisherman: Conservation Heroes of the American Heartland",,2016,Miriam Horn,9780393354874,,990047108700108238,AREC210/Rancher Farmer Fisherman,31430060332618,On Shelf,,Y,,,CPMCK
TopTextFall24.9,AREC 210,"Fate of Food: What We'll Eat in a Bigger, Hotter, Smarter World",,2019,"Little, Amanda",9780804189033,,990061166890108238,AREC210/Fate of Food,31430060332592,On Shelf,,Y,,,CPMCK
TopTextFall24.10,AREC 210,Revolution Down on the Farm,,2008,"Conkin, Paul Keith",9780813192420,,990036096840108238,AREC210/Revolution Down on the Farm,31430053288314,On Shelf,,Y,https://muse.jhu.edu/book/3581,"This book is  also available as an ebook at this <a href=""https://muse.jhu.edu/book/3581"">link</a>",CPMCK
